sunglasses,73855,273.916,60.9117,3.82184
sunglasses,73575,274.619,60.6968,4.0977
sunglasses,72341,269.847,60.7908,3.81609
sunglasses,72873,270.691,60.8153,3.82184
sunglasses,72448,269.867,61.1481,3.82184
sunglasses,72894,270.744,61.0818,3.84393
sunglasses,65565,263.41,57.03,3.79641
pen,63967,256.185,57.3339,3.72892
pen,63805,255.864,57.4963,3.6988
pen,81578,357.276,50.404,6.58683
sunglasses,3,10.3333,0.333333,1
fork,72461,293.818,54.8336,4.38922
fork,72667,293.931,54.9794,4.38323
fork,72652,293.862,54.9841,4.38323
fork,82126,358.109,50.6429,6.5988
fork,86018,398.179,48.8627,7.66467
fork,86653,363.575,52.4583,6.58333
fork,86609,363.414,52.4485,6.57738
pen,75978,316.43,56.4929,4.68263
pen,76394,316.808,56.7599,4.67665
pen,76507,317.167,56.7844,4.68263
pen,76413,316.812,56.7249,4.68263
pen,76395,317.913,56.8886,4.68862
pen,76322,317.357,56.8367,4.68263
charger,76836,313.922,56.4384,4.67665
charger,76597,313.109,56.7744,4.68675
charger,76986,313.312,56.6057,4.66467
charger,76968,313.435,56.7059,4.66467
staple,77244,312.606,56.1408,4.69277
remover,77790,312.8,56.2955,4.66467
staple,77542,312.571,56.2025,4.66467
staple,84699,360.91,52.7459,6.56886
staple,85653,363.588,52.7185,6.55952
staple,85260,362.539,52.5848,6.57485
nsunglasses,84658,360.607,52.5904,6.55689
sunglasses,84887,360.955,52.7686,6.57485
sunglasses,84866,360.767,52.7225,6.56287
sunglasses,84640,360.131,52.6595,6.53892
sunglasses,85562,361.773,53.3058,6.59524
sunglasses,84481,359.12,52.8587,6.55689
sunglasses,84166,357.458,53.0201,6.58084
sunglasses,84378,357.975,53.1606,6.59281
sunglasses,83912,356.789,52.9291,6.55689
sunglasses,84216,358.196,52.7993,6.56886
sunglasses,77468,308.87,56.7545,4.63473
sunglasses,84497,358.291,52.998,6.57485
sunglasses,77106,308.452,56.5355,4.63473
sunglasses,77171,308.176,56.6426,4.63473
sunglasses,77376,308.639,56.7236,4.60714
sunglasses,77295,308.849,56.5723,4.62874
sunglasses,76921,308.091,56.4139,4.65663
sunglasses,77373,308.844,56.6477,4.62874
sunglasses,77251,308.855,56.5466,4.62874
sunglasses,84585,358.495,52.9936,6.58084
nsunglasses,84317,357.785,52.9741,6.56886
charger,84392,360.387,53.1766,6.59281
charger,77149,309.971,56.8582,4.60479
charger,76773,308.787,56.8499,4.60479
charger,76485,308.249,56.7412,4.59281
charger,76418,308.007,56.731,4.5988
charger,76901,308.784,56.9821,4.59281
charger,76788,308.383,56.9548,4.59281
charger,76745,308.245,56.8962,4.59281
charger,76910,308.964,56.867,4.5988
charger,76778,309.122,56.6891,4.5988
charger,76960,309.206,56.8153,4.5988
charger,76674,309.145,56.6394,4.61078
charger,76898,310.097,56.653,4.61078
staple,77075,307.706,56.5972,4.61446
staple,77201,308.137,56.5963,4.58683
staple,77226,308.456,56.5585,4.58683
staple,77156,308.161,56.5271,4.61446
staple,77272,308.059,56.662,4.58683
staple,77191,307.906,56.6322,4.58683
staple,77341,308.399,56.6488,4.59281
staple,77261,309.117,56.5036,4.62048
staple,77791,309.258,56.8587,4.58683
staple,77584,309.549,56.6428,4.60241
staple,77622,309.532,56.6953,4.60241
staple,77520,309.452,56.6276,4.56886
staple,77459,309.168,56.638,4.59639
staple,77592,309.293,56.7045,4.61446
staple,77511,309.302,56.6613,4.61446
staple,77505,309.377,56.638,4.59036
staple,77965,309.872,56.9269,4.58084
staple,78049,309.999,56.9491,4.57485
staple,77952,309.907,56.8901,4.56886
npen,2,0,0.5,0.5
pen,76364,314.694,56.9967,4.57485
pen,77518,309.295,56.5504,4.60843
pen,71216,272.909,59.7519,4.05988
pen,77597,309.325,56.6096,4.59639
pen,77851,309.643,56.726,4.56886
pen,77554,309.563,56.5166,4.59639
pen,77709,309.659,56.6008,4.59639
pen,77719,309.589,56.6382,4.56886
pen,86594,366.16,52.8026,6.64671
pen,77961,309.81,56.6764,4.57485
pen,77954,309.949,56.5989,4.58084
pen,77688,309.519,56.4847,4.60241
pen,77897,309.875,56.587,4.60241
pen,77741,309.745,56.4859,4.60843
pen,78010,310.045,56.6722,4.60843
